!main bonds
N    CA
CA   C
CA   CB
C    O
CB   CG
CG   CD
CD   OE1
CD   OE2
C    OXT
!hydrogens
N    H
N    1H
N    2H
N    3H
CA   HA
CB   1HB
CB   2HB
CG   1HG
CG   2HG
!defined dihedral angles
N   CA   CB   CG   CD   OE2
!defined angle triplets
N   CA  C
CA  C   O
CA  C   OXT
N   CA  CB
CA  CB  CG
CB  CG  CD
CG  CD  OE1
CG  CD  OE2
!atom types
# column 1: atom name
# column 2: AMBER all atom atomtype
# column 3: AMBER united atom atomtype
# column 4: ENCAD atomtype
# column 5: AMBER95 atomtype
N    N    N    N1   N
CA   CT   CH   C1   CT
C    C    C    AO   C
O    O    O    OA   O
CB   CT   C2   C2   CT
CG   CT   C2   C2   CT
CD   C    C    A"   C
OE1  O2   O2   O"   O
OE2  OH   OH   OH   OH
OXT  O    O    O"   O
H    H    -    HN   H
HA   HC   -    HC   H1
1HB  HC   -    HC   HC
2HB  HC   -    HC   HC
1HG  HC   -    HC   HC
2HG  HC   -    HC   HC
1H   H    -    H    HM
2H   H    -    H    HM
3H   H    -    H    HM
