!main bonds
N    CA
CA   C
CA   CB
C    O
CB   CG
CG   CD1
CG   CD2
C    OXT
!hydrogens
N    H
N    1H
N    2H
N    3H
CA   HA
CB   1HB
CB   2HB
CG   HG
CD1  1HD1
CD1  2HD1
CD1  3HD1
CD2  1HD2
CD2  2HD2
CD2  3HD2
!defined dihedral angles
N    CA    CB    CG    CD1
!defined angle triplets
N   CA  C
CA  C   O
CA  C   OXT
N   CA  CB
CA  CB  CG
CB  CG  CD1
CB  CG  CD2
!atom types
# column 1: atom name
# column 2: AMBER all atom atomtype
# column 3: AMBER united atom atomtype
# column 4: ENCAD atomtype
# column 5: AMBER95 atomtype
N    N    N    N1   N
CA   CT   CH   C1   CT
C    C    C    AO   C
O    O    O    OA   O
CB   CT   C2   C2   CT
CG   CT   CH   C1   CT
CD1  CT   C3   C3   CT
CD2  CT   C3   C3   CT
OXT  O    O    O"   O
H    H    -    HN   H
HA   HC   -    HC   H1
1HB  HC   -    HC   HC
2HB  HC   -    HC   HC
HG   HC   -    HC   HC
1HD1 HC   -    HC   HC
2HD1 HC   -    HC   HC
3HD1 HC   -    HC   HC
1HD2 HC   -    HC   HC
2HD2 HC   -    HC   HC
3HD2 HC   -    HC   HC
1H   H    -    H    HM
2H   H    -    H    HM
3H   H    -    H    HM
