!main bonds
N    CA
CA   C
CA   CB
C    O
CB   CG
CG   SD
SD   CE
C    OXT
!hydrogens
N    H
N    1H
N    2H
N    3H
CA   HA
CB   1HB
CB   2HB
CG   1HG
CG   2HG
CE   1HE
CE   2HE
CE   3HE
!defined dihedral angles
N    CA    CB    CG    SD    CE
!defined angle triplets
N   CA  C
CA  C   O
CA  C   OXT
N   CA  CB
CA  CB  CG
CB  CG  SD
CG  SD  CE
!atom types
# column 1: atom name
# column 2: AMBER all atom atomtype
# column 3: AMBER united atom atomtype
# column 4: ENCAD atomtype
# column 5: AMBER95 atomtype
N    N    N    N1   N
CA   CT   CH   C1   CT
C    C    C    AO   C
O    O    O    OA   O
CB   CT   C2   C2   CT
CG   CT   C2   C2   CT
SD   S    S    S0   S
CE   CT   C3   C3   CT
OXT  O    O    O"   O
H    H    -    HN   H
HA   HC   -    HC   H1
1HB  HC   -    HC   HC
2HB  HC   -    HC   HC
1HG  HC   -    HC   H1
2HG  HC   -    HC   H1
1HE  HC   -    HC   H1
2HE  HC   -    HC   H1
3HE  HC   -    HC   H1
1H    H   -    H    HM
2H    H   -    H    HM
3H    H   -    H    HM
