!main bonds
N    CA
CA   C
CA   CB
C    O
CB   OG1
CB   CG2
C    OXT
!hydrogens
N    H
N    1H
N    2H
N    3H
CA   HA
CB   HB
OG1  HG1
CG2  1HG2
CG2  2HG2
CG2  3HG2
!defined dihedral angles
N    CA    CB    OG1
!defined angle triplets
N   CA  C
CA  C   O
CA  C   OXT
N   CA  CB
CA  CB  OG1
# CA  CB  OG2
OG1 CB  OG2
!atom types
# column 1: atom name
# column 2: AMBER all atom atomtype
# column 3: AMBER united atom atomtype
# column 4: ENCAD atomtype
# column 5: AMBER95 atomtype
N    N    N    N1   N
CA   CT   CH   C1   CT
C    C    C    AO   C
O    O    O    OA   O
CB   CT   CH   C1   CT
OG1  OH   OH   O1   OH
CG2  CT   C3   C3   CT
OXT  O    O    O"   O
H    H    -    HC   H
HA   HC   -    HC   H1
HB   HC   -    HC   HC
HG1  HO   -    HO   HO
1HG2 HC   -    HC   HC
2HG2 HC   -    HC   HC
3HG2 HC   -    HC   HC
1H   H    -    H    HM
2H   H    -    H    HM
3H   H    -    H    HM
